Наименование,"Выручка, ₽",ИНН
"ООО ""ГОФРОТАРА""",974 млн,3232027350
"ООО ""УК ""ГРАНДО""",974 млн,7811357639
"ГЭП ""ВОЛОГДАОБЛКОММУНЭНЕРГО""",974 млн,3525014344
"ООО ""МОЛОЧНОЕ ДЕЛО - ИВНЯ""",974 млн,3109005186
"ООО ""КОРТЕХ""",973 млн,7806579241
"ООО ""АЛСО""",973 млн,7447196797
"ООО ""АГАТ НА КОМСОМОЛЬСКОМ""",973 млн,5260281345
"ООО ""СТ-СТРОЙ""",973 млн,7728477761
ООО ТД ХОЛОДОК,973 млн,7731346960
"ЗАО ""ВОЛГАЭРО""",973 млн,7610062258
"ООО ""КАТЭН""",973 млн,7720674630
"ООО СК ""ПРОМИЗОЛЯЦИЯ""",973 млн,3426012554
"ООО ""ШИНСНАБ""",973 млн,1832125420
"ООО ""МЛЦ""",973 млн,7104037880
"ООО ""БАКИНСКИЕ САДЫ""",973 млн,7730233297
"ООО ""КСМК-СЕВЕР""",973 млн,2312117368
"ООО ""ГИДРОФОРС ГРУП""",973 млн,7720399039
"ООО ""ЮНИЛАБ-ВЛАДИВОСТОК""",973 млн,2536130291
"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОСК 3""",973 млн,2540249275
"ООО ""АЛЬЯНС ЧК""",973 млн,7726643205
"ООО ""РТК""",973 млн,411173507
"АО ""ТУЛАГОРГАЗ""",973 млн,7102000154
"ООО ""АЛГА""",973 млн,7404041929
"ООО ""ТАИФ-СМ""",973 млн,1655428423
"ООО ""НОБЕЛЬ АВТОМОТИВ РУСИА""",972 млн,6321270514
"ООО ""ХВ-ТРЕЙД""",972 млн,7727298826
"ООО ""ПРОД ЛАЙН""",972 млн,2801102664
"ООО ТЛК ""РЭЙЛ СЕРВИС""",972 млн,2537141514
"ООО ""АГРОФИРМА ""МЕДВЕДОВСКАЯ""",972 млн,2369007360
"ООО ""НПП ""МОНИТОР""",972 млн,6163005609
"АО ""РОДИНА""",972 млн,7726447881
"ООО ""ЛОРУС ИНТЕРМОДАЛ""",972 млн,2536318247
"ООО ""ГК ""ИНТРА""",972 млн,3327129470
"ООО ""РМ СТРОЙ""",972 млн,1646042014
"ООО ""СИНАПС""",972 млн,7718109335
"ООО ""ЕВРОСТЭП""",972 млн,5032135095
"ООО ""ДСС""",972 млн,7840453425
"АО ""НПК ""СУПЕРМЕТАЛЛ""",972 млн,7705887722
"АО ""ПО АЛЬФА-МЕТАЛЛ""",972 млн,7703519716
"ООО ""ДЕНЦУ""",972 млн,7709909600
"АО ""МК""ВОРОНЕЖСКИЙ""",972 млн,3666025010
"ООО ""МПК""ЕЛЕЦ""",972 млн,4821016488
"ООО ""КИНЕКО""",972 млн,7730679973
"ООО ""ГАЛИОН-СТ""",972 млн,9701163779
"ООО ""ДЕЗ РАЙОНА ВЫХИНО""",971 млн,7721671618
"ООО ""ФАВОРИТ""",971 млн,7708779940
"ООО ""ВЕРТИКАЛЬ-14""",971 млн,7719092317
"ООО ""ВОЛЖСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ""",971 млн,6312101799
"ООО ""ИНЛЗ""",971 млн,7802543854
"АО ""ГРУППА КОМПАНИЙ ЩИТ""",971 млн,7720822529
"ООО ""ХОРЕКА-ЮГ""",971 млн,2317054383
"ООО ""ФАНЕРНЫЙ ЗАВОД""",971 млн,3666207765
"ООО ""ВОРОНЕЖ ВЦМ""",971 млн,3663085565
"ООО ""ТД ""БАШПРОМТОРГ""",971 млн,274911527
"АО ""МКФ""",971 млн,7722179575
"ООО ""ТЕМ КОНСТРАКШН""",971 млн,7707831556
"ООО ""КОНДИТЕРСКАЯ ФАБРИКА ""ВОЛШЕБНИЦА""",971 млн,7729352268
"ООО ""ЭЛОТ""",971 млн,1327029232
"АО ""ДСМ""",971 млн,2901034760
"ООО ""ТД ""ЕВРАЗИЯ""",971 млн,6685016786
"ООО ""ЛИДЕР-СИТИ""",971 млн,3665104534
"ООО ""ИНТЕРНОВА""",971 млн,7714817954
"ООО ""АЛЬТ-ПАРК""",971 млн,5406533601
"ООО ""АББ ЭЛЕКТРООБОРУДОВАНИЕ""",971 млн,4802024853
"ООО ""МИКСЭМ""",971 млн,6949107982
"ООО ""БАРАНОВО-33""",971 млн,5030055694
"ООО ""АТ-ХОЛДИНГ""",971 млн,7719848811
"ООО ""МЕДСТАЙЛ""",971 млн,7708378113
"ООО ""ИРИДИУМ КОММЬЮНИКЕШЕНС""",971 млн,7715733344
"ООО ""ПЕРМЬ-ГАЗ-ГАРАНТ""",971 млн,5902052479
"ООО ""ТД ""РЕМИКС""",971 млн,7817062261
"АО ""КРАСНАЯ РОЗА 1875""",971 млн,7704247102
"ООО ""ЗАВОД РЭМ""",971 млн,5040159100
"ООО ""СМТ ШАРФ""",971 млн,7729594228
"ООО ""ВДМ""",971 млн,6670213510
"АО ""ТРЕСТ № 68""",971 млн,7817014691
"ООО ТТК ""КАММАРКЕТ""",971 млн,1646038762
"ООО ""ТЕХНОПЛЮС""",971 млн,7448161885
"АО ""ТЗТ""",971 млн,2365026121
"ООО ""АСМОТО СЕРВИС""",970 млн,6659114000
"ООО ""НПП ЭЛТЕХНИКА""",970 млн,7811687676
"ООО ""ФЕМТОМЕД""",970 млн,7704406169
"ООО ""АЛЬТЕРНАТИВА НОРД""",970 млн,2902064197
"АО ""АГРОХИМИЯ""",970 млн,2346010824
"ООО ""ВЕЛПАРТС""",970 млн,7743235573
"ООО ""СК ""БСУ""",970 млн,6604027447
"ООО ""НАТК""",970 млн,2457054601
"ООО ""ДЕНЕЖНАЯ ИСТИНА""",970 млн,3804113137
"АО ""ПЗЭМИ""",970 млн,5036003332
"ООО ""АЛЬЯНСТРАНССТРОЙ""",970 млн,2801161451
"ООО ""АЛЬЯНС-СТРОЙ""",970 млн,7202135934
"ООО ""ЛЕГАТ""",970 млн,7709832749
"ООО ""АЛЬЯНС ПАРТНЕР""",970 млн,7724380663
"ООО ""НОВИНКА+""",970 млн,1657037577
"ООО ""СКЦ ""СИБИРЬ""",970 млн,2464058653
"ООО ""АЙСБЕРГ""",970 млн,6315002073
"ООО "" РЦУ """,970 млн,2465082835
"АО ""УССУРИЙСК-ЭЛЕКТРОСЕТЬ""",970 млн,2511121619
"ООО ""ОПТИКЭНЕРГО""",970 млн,1327002022
"ООО ""АТУ-СЕВЕР""",970 млн,8617029910
"ООО ""ЭЛЕКТРОЩИТ-К°""",970 млн,4001005954
"АО ""ЭСТЕЙТ ИНВЕСТ""",970 млн,7708825851
"ООО ""МЕРКУРИЙ""",970 млн,3702742030
"ООО ""ЛОГИТЕК""",970 млн,5030059699
"ООО ""УРАЛСТАР""",970 млн,7449008632
"ООО ""МЕТРО КЭШ ЭНД КЕРРИ ИМПОРТ""",970 млн,7714675749
"ООО КОМПАНИЯ ""УРАЛПРОМСЕРВИС""",970 млн,6672330265
"ООО ""МЕТКАР""",970 млн,6382021385
"АО ""СТО КОМСОМОЛЬСКАЯ""",970 млн,6320010898
"АО ""ДУКАТСКАЯ ГГК""",970 млн,4902001546
"ООО ""ТРИУМФ""",970 млн,3662175946
"ООО ""ПОЛЯРИС""",970 млн,7816657996
"ООО ""ИПМ""",970 млн,3663141932
"ООО ""АСК СОЮЗ""",969 млн,4909092768
"ООО ""СПЕЦСТРОЙ""",969 млн,2224095612
"АО ""БАЗА №1 ХИМРЕАКТИВОВ""",969 млн,5031065141
"ООО ""БАШЭНЕРГОТРАНС""",969 млн,276090347
"ООО ""АМ ДОЛГОПРУДНЫЙ""",969 млн,5047159243
"ООО ""ЭНЕРГОПАРИТЕТ""",969 млн,4205262491
"ООО ""НЕЙРОНЕК""",969 млн,7448164893
"ООО ""ЮГРАНЕФТЕГАЗПРОЕКТ""",969 млн,8604034825
"ООО ""АГРОПРОМПАНЕЛЬ-ТК""",969 млн,7708257260
"ООО ""РАВВУНИ ЛОГО""",969 млн,7713644466
"ООО ""ФАРМТЕХНОЛОГИЯ""",969 млн,5047154975
"ООО ""САЛМИ""",969 млн,7701413143
"СКОЛКОВСКИЙ ИНСТИТУТ НАУКИ И ТЕХНОЛОГИЙ, СКОЛТЕХ",969 млн,5032998454
"ООО ""С 7 ИТ""",969 млн,5406191933
"ООО ""ГОЛДПРОЕКТ""",969 млн,5017083639
"ООО ""УФ ""КОМУС-УПАКОВКА""",969 млн,7447067992
"ООО ""ВИГО""",969 млн,5263130062
"ООО ""ВОЕНТЕКСТИЛЬПРОМ""",969 млн,7724392193
"ООО ""ЭКО ЭНЕРДЖИ РУС""",969 млн,9718044988
"ООО ""ПУМОРИ - СЕВЕРО- ЗАПАД""",969 млн,7811354892
"ООО ""ТД РОСХОЛОД-ПОВОЛЖЬЕ""",969 млн,1216030063
"ООО ""КИНК""",969 млн,2466108959
"ООО ТК ""АКВАРОМ""",969 млн,3666131989
"АО ""ИНТЕРХОЛДИНГ""",969 млн,4632279918
"ООО ""ЕВА ФРУКТ""",969 млн,3257040219
"АНО ""АНГЛО-АМЕРИКАНСКАЯ ШКОЛА МОСКВЫ""",969 млн,7733349388
"ООО ""КОНТР ОЙЛ""",969 млн,6324109376
"ООО ""САТУРН""",969 млн,1650019970
"НТ МУП ""ГОРЭНЕРГО-НТ""",969 млн,6623090236
"ООО ""БЕЛГОРОДСКАЯ ДВЕРНАЯ КОМПАНИЯ""",969 млн,3123327280
"ООО ""АБЗ БЕЛЫЙ РАСТ""",968 млн,7734391431
"ООО ""РПТ""",968 млн,5024176429
"АО ""БРЯНСКИЙ МЯСОКОМБИНАТ""",968 млн,3235011870
"ООО ""ЗТЗ-СЕРВИС""",968 млн,9715288721
"ООО ""ИНФРАПРО""",968 млн,7730695140
"ООО ""ТД СПЕЦПЛАСТ""",968 млн,7721361285
"ООО ""ФОНТАН""",968 млн,7702376769
"ООО ""ГЕЛИВАЛ""",968 млн,7751171700
"ООО ПФ ""УЛЫБИНО""",968 млн,5446017473
"АО ""ГЕОРГИЕВСКОЕ""",968 млн,3420011868
"ООО ""ЭКОСТРОЙ""",968 млн,5012086611
"АО ""ХИМЭКС ЛИМИТЕД""",968 млн,7809014017
"АО ""ПКФ ""РУСАГРОГРУПП""",968 млн,5245013373
"ПЛЕМЗАВОД - КОЛХОЗ ""АВРОРА""",968 млн,3509004740
"ООО ""ФИРМА ЭКСПРЕСС-ТРЕЙДИНГ""",968 млн,6501084394
"ООО ""ПРЕСТИЖ-ОЙЛ""",968 млн,2465178791
"ООО ""АЙСБЕРГ""",968 млн,3702236073
"ООО ""РЕФЛОГ""",968 млн,7802539618
"ООО ""СЗ ""НА МИНСКОЙ""",968 млн,7203275451
"ООО ""ВЕТЛАЙН""",968 млн,7724313160
"ООО ""НТК""",968 млн,2508114812
"АО ""ЭНЕРГОТРАНССНАБ""",968 млн,1435176330
"ООО ""ГК БАЗИС""",968 млн,5401366763
"ООО ""АТЛАНТЕКС""",968 млн,7720582997
"ООО ""ИНАВТОСЕРВИС""",968 млн,3327316576
"ООО МХО ""РАССВЕТ""",968 млн,2315010334
"ООО ""МОСАВТОСТЕКЛО""",968 млн,7725258708
"ООО ""АЛЬТ-ПЛАСТ""",967 млн,2465210526
"ООО ""ЦИТО""",967 млн,7701867242
"ООО ""ПРОНТО""",967 млн,7604291281
"ООО ""ТРАНСМЕТ""",967 млн,3662277176
"ООО ""МИРКА РУС""",967 млн,7842394430
"ООО ""ЦЕНТРЦЕМЕНТ""",967 млн,7719593923
"ООО ""ЕКС МЕХАНИЗАЦИЯ""",967 млн,7707439518
"ООО ""БИРАКВА""",967 млн,5029240251
"ООО ""ПК ""ПРОФИЛЬ""",967 млн,7810282290
"ООО""ЧЕРКЕССКСТРОМ""",967 млн,901013630
"ООО ""СТС-ГРУПП""",967 млн,7723840452
"ООО ""РУБИН""",967 млн,6317053443
"ООО ТК ""АВТОТЕХ""",967 млн,1639057570
"ООО ""СК СТРОЙИНВЕСТ""",967 млн,7722471330
"ООО ""ЭРЛАЙН""",967 млн,7714429084
"ООО ""ТД ""РРМ""",967 млн,5074047203
"ООО ПК ""ГОСТПАНЕЛЬ""",967 млн,4826133876
"ООО ПКП ""АРИДА""",967 млн,2636209763
"ООО ""СТИНКОМ-СП""",967 млн,7726377835
"ООО ""МИР ШИН""",967 млн,2630045195
"ЗАО ""ПКФ ""САТУРН-2001""",967 млн,6661077691
"ООО ""КЛЕМАН ЛИФТС РУС""",967 млн,7720768021
"ООО ""ГЛОСТЕР""",967 млн,9706000457
"ООО ""КОМПАНИЯ ТАРРА""",966 млн,7728727482
"ООО ""ЛЕСНОЙ ЗАВОД""",966 млн,6950225596
"ООО ""АГРОФИРМА ""ПТИЦЕФАБРИКА ""ЕНИСЕЙСКАЯ""",966 млн,2234010368
"ООО ""НИКАМОТОРС""",966 млн,2315984030
"ООО ""ЖЕЛТРАНСАВТОМАТИКА""",966 млн,7733189695
"ООО ""ЛУГАНСКИЙ АВТОКЛАПАН""",966 млн,6149012724
"ООО ""ТЕХНОМЕД""",966 млн,7734634437
"ООО ""БИО-ФАРМА""",966 млн,7724345186
"ООО ""ДВ СТРОЙ""",966 млн,2724168837
"ООО ""КРИЛЬОН-СЕРВИС""",966 млн,6501015270
"ООО ""ЭКСПЕДИТОРСКАЯ КОМПАНИЯ ЮГ РУСИ""",966 млн,6141021692
"ООО""ПАСИФИК ТРАНС""",966 млн,2511049190
"ООО ""РУС-КР""",966 млн,7736645755
"ООО ""ПРЕМИУМ ЭСТЕТИКС""",966 млн,7703770655
"ООО ""СИЛАМАРСКИЙ""",966 млн,7707393888
"АО ""МЕРСИ АГРО САХАЛИН""",966 млн,6501256318
"ООО ""ОКЕАН ТРК""",966 млн,7820021152
"ООО ""ИТЭ - ТМ""",966 млн,7204121422
"ООО ""АВТОГРАД ГАЗ""",966 млн,7203236332
"ООО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ""",966 млн,7725327599
"ООО ""МЕТЭКСПО""",966 млн,3702211953
"ООО ""АРЛАН-МОН""",966 млн,5263112306
"ООО ""ПРИМА""",966 млн,7701827112
"ООО ""ТД ""ЭТАНОЛ-ОРЕЛ""",966 млн,5720019004
"ООО ""САТОЙЛ""",966 млн,2536163949
"ООО ""РИТЕЙЛЕР""",966 млн,9721094227
"ООО ""СТЕКЛОРЕЗЕРВ""",966 млн,725018407
"АО ""МОБИЛЬ""",966 млн,6661021850
"ООО ""КИА - ЦЕНТР КИРОВ""",965 млн,4345160411
"ООО ""АНГАРАСТРОЙКЕРАМИКА""",965 млн,3801141834
"ООО ""РУСПАК""",965 млн,6672309104
"ООО ""МОСТООТРЯД-49""",965 млн,7751010870
"ООО ""САМКОМ-ЛОГИСТИКА""",965 млн,6315013371
"АО ""САНТЕ МЕДИКАЛ СИСТЕМС""",965 млн,7734111726
"ООО ""ТЕХНОЛОГИИ РЕЦИКЛИНГА""",965 млн,4253014234
"АО ""ПТИЦЕФАБРИКА ""КИНЕШЕМСКАЯ""",965 млн,3713007420
"ООО ""АСУ ИНЖИНИРИНГ""",965 млн,5906110146
"ООО ""ТВТОРГ""",965 млн,7709929211
"ООО ""ФЛОРЕНЦИЯ""",965 млн,6453143512
"ООО ""ПОРТ""",965 млн,7203305995
"ООО ""БИФ-ЛОГИСТИК""",965 млн,5050119956
"ЗАО ""ТИС-РЕГИОН""",965 млн,7722267493
"АО ""НОВОЕ КАЧЕСТВО ДОРОГ""",965 млн,7726404976
"ООО ТД ""ВСЕ ДЛЯ АЗС""",965 млн,7720210269
"ООО ""СБС""",965 млн,4230004060
"ООО ""ЭКОХЛЕБ""",965 млн,3663062624
"ООО ""ТЛК""",965 млн,4715024744
"ООО ""ИНТЕРКОМ""",965 млн,7736283463
"ООО ""АСТО""",965 млн,7801138155
"ЗАО ""УРАЛ - КОНТЕЙНЕР""",965 млн,6659044321
"ООО ""РАС-ТОРГ""",965 млн,7720646640
"ЗАО ""АГРОФИРМА АПРОТЕК - ПОДГОРЕНСКАЯ""",965 млн,3624003329
"ООО ""ТК ТЕПЛОТЕХНИКА""",965 млн,4632204366
"ООО ""РЕАТОРГ""",964 млн,5036117570
"ООО ""СОДРУЖЕСТВО""",964 млн,2224095725
"ООО ""КОНСУЛЬТАНТ ПЛЮС - КОРПОРАТИВНЫЕ РЕШЕНИЯ""",964 млн,7710146960
"ООО ""ЦЭК""",964 млн,7733626391
"ООО ""ДТРД""",964 млн,5001098742
"АО ""ДК ПРИОКСКОГО РАЙОНА""",964 млн,5261046908
"ООО ""ТД ""МИКРОН""",964 млн,7729764896
"ЗАО ""ТРИНИТИ""",964 млн,7802114622
"ООО ""РАЗВИТИЕ""",964 млн,3811042825
"ООО ""ЭНЕРГОСТРОЙПРОЕКТ""",964 млн,7810006934
"ООО ""КОРДА""",964 млн,2320200002
"ООО ""АЛЬТАИР""",964 млн,7447273160
"ООО ""ТМ-МОСКВА""",964 млн,7743652295
"ООО ""ЛЕККО""",964 млн,7722477846
"ООО ""ФИРМА ЭМСИТРЭЙД""",964 млн,6674169879
"ООО ""СЕЛЕНА""",964 млн,5258131920
"АО ""ТИОН УМНЫЙ МИКРОКЛИМАТ""",964 млн,5408281283
"ООО ""ВХД МЕНЕДЖМЕНТ""",964 млн,9705093770
"ООО ""ТЭК ""УПРАВЛЕНИЕ ТРАНСПОРТОМ""",964 млн,5263085388
"АО ""ФОРТ ТЕХНОЛОГИЯ""",964 млн,7710060720
"ООО ""АГРОГАРД-ЛИПЕЦК""",964 млн,4826031708
"ООО ТК ""ЭКО - КУЛЬТУРА""",964 млн,2609023840
"ООО ""ТД ЙОЛА КАЗАНЬ""",964 млн,1657231158
"ООО ""АНТАРКТИДА""",964 млн,2536075989
"ООО ""ТЮБИНГ ТЕХНОЛОДЖИ ЮГРА""",963 млн,7704785929
"ООО ""ЭНЕРГО ТРЕЙД""",963 млн,5504138455
"ООО ""ФБ-СТРОЙ""",963 млн,5029172308
"ООО ""ОПБ""",963 млн,4348029158
"ООО ПТК ""КОЛОС""",963 млн,7453209973
"ООО ""ПЕРСПЕКТИВА""",963 млн,2901171750
"ООО ""ТРЕЙД ИНЖИНИРИНГ""",963 млн,7203390278
"ООО ""АКСИОМА""",963 млн,5038119558
"ООО ""КОМПАНИЯ ""СТАРЫЙ ГОРОД - КАРСТ""",963 млн,7801223058
"ООО ""ПМК-21""",963 млн,7722408137
"ООО ""ЦЕНТР ОПСН""",963 млн,7709573477
"ООО ""ПЕРИСКОП ТВ""",963 млн,9717073009
"АО ""ВССРЗ""",963 млн,3435086270
"ООО ""АВТОЦЕНТР СИТИ ЮГ""",963 млн,5003114100
"ООО ""ЛЕМАН""",963 млн,4632169947
"ООО ""ТД ПАС""",963 млн,7814753969
"ООО ""КАРТОН-УПАК""",963 млн,7707343319
"ООО ""СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ ""ДОНСКОЕ""",963 млн,3409010405
"АО ""ДМНГ""",963 млн,6501146467
"ООО ""ТАНДЕМ ПЛЮС""",963 млн,4027067320
"ООО ""ТАМБОВСКИЙ БРОЙЛЕР""",963 млн,6821000393
"ООО ""ПОЛИСИНТЕЗ""",963 млн,3123067522
"ООО ""ДЖОН ВАЙЛИ И СЫНОВЬЯ РУС""",962 млн,5018165027
"ООО ""ЛАНИТ-ИЦР""",962 млн,9731003910
"ООО АГРОХОЛДИНГ ""ЖЕМЧУЖИНА ПОВОЛЖЬЯ""",962 млн,5249167920
"ООО ""СВЕЗА РЕСУРС""",962 млн,3526036541
"ООО ""СТАЛЬ-СЕРВИС""",962 млн,7536136535
"ООО ""БЕТОНСТРОЙ""",962 млн,7733892611
"ООО ""АРТ СОВРЕМЕННЫЕ НАУЧНЫЕ ТЕХНОЛОГИИ""",962 млн,7704202366
"ЗАО ПК ""КОРОНА""",962 млн,5320012741
"ООО ""ФОРСАЖ""",962 млн,7842487081
"ООО ""КРАФТЕР-КУБАНЬ""",962 млн,2310201102
"ООО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВЛАДИКАВКАЗ""",962 млн,1516609782
"ООО ""ЭКОЛОГИЯ ЭНЕРГО""",962 млн,3328012725
"ООО ""ВЕЛЕС""",962 млн,6732186675
"ООО ""ММК-ДЖОШКУНОЗ-АЛАБУГА""",962 млн,1646043603
"ООО ""СИМАГЛОБАЛ""",962 млн,6679080470
"ООО ""ТОРГОВЫЙ ЦЕНТР""",962 млн,6671272476
"ООО СК ""СТРОЙТЕХ""",962 млн,6671089664
"ООО ""АВТОКЛАСС ЦЕНТР""",962 млн,7106527174
"ООО ""ПРОМРЕСУРС""",962 млн,6150091760
"ООО ""ЕВРОХИМ""",962 млн,2225173790
"ООО ""ТВЕРСКАЯ УСАДЬБА""",961 млн,7733680293
"ООО ""ТЕКИЛАДЖАЗ""",961 млн,9718071205
"ООО ""СОЮЗ-ТРАНС""",961 млн,3233014499
"ООО ""СМПК""",961 млн,6219006808
"ЗАО ""АДЕПТ""",961 млн,5321032733
"ООО ""РЕВАНШ-Н""",961 млн,1650126108
"ООО ""ФИНСТРОЙ-ЦЕНТР""",961 млн,6313553004
"ООО ""СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""БЕЛ-ПОЛЬ""",961 млн,4611005850
"ООО ""СОЮЗ-Т""",961 млн,6950061531
"ООО ""СИНТЕЗ ЭНЕРГО-РЕСУРС""",961 млн,5249105233
"ООО ""СВАРБИ""",961 млн,7726307154
"ООО ""ГЭС БРЯНСК""",961 млн,3255502891
"ООО ""ТД ""КРОНОС""",961 млн,7839042565
"ООО ""РУСПРОМСТАЛЬ-КУБАНЬ""",961 млн,2310189864
"ГУП ""ЭКОТЕХПРОМ""",961 млн,7706043312
"ООО ""ПРОЛОГ""",961 млн,4025079144
"ООО ""САНТЕХКОМПЛЕКТ""",961 млн,7811596683
АО НПО ИЗОЛЯТОР,961 млн,272910687
"ООО ""МОЛИТРЕНД""",961 млн,9731060812
"ООО ""КЛЕВЕР ДЕВЕЛОПМЕНТ""",961 млн,4345468069
"ООО ""ТРАК-БЕТОН""",961 млн,5027207700
"ООО ""ЖКС № 1 ПРИМОРСКОГО РАЙОНА""",961 млн,7814407052
"АО ""ЭКО-УМВЕЛЬТ""",961 млн,3702009828
"ООО ""СЛ-ТК""",960 млн,6633010776
"ООО ""МИР СЫРОВ""",960 млн,2312272035
"ООО ""ВЕТТА""",960 млн,6452039075
"ООО ""НИАП-КАТАЛИЗАТОР""",960 млн,7116500100
"ООО ""МК НАВИГАТОР""",960 млн,6685097714
"ООО ""ТЕХЭЛЕКТРО МСК""",960 млн,7723881635
"ООО ""АЛЬЯНС ПРОЕКТ""",960 млн,6230086934
"ООО ""РЕГИОНВТОРМЕТ""",960 млн,7326041407
"ООО ""АНВ - ПЛАСТ""",960 млн,2312089706
"ООО СЗ ""ПРОСТОРЫ""",960 млн,6685165442
"ГУП СК ""СТАВРОПОЛЬФАРМАЦИЯ""",960 млн,2636015253
"АО ""СТРОЙСЕРВИС""",960 млн,3235001907
"ЗАО ""ТАБУНСКИЙ ЭЛЕВАТОР""",960 млн,2276004246
"ООО ""ГОЛДПРОДУКТ""",960 млн,534032697
"ООО ""ГАЗПРОМ ЭКСПО""",960 млн,7736045557
"ООО "" ЭНЕРГОКОМ""",960 млн,5957012330
"ООО ""ПРОФИТ""",960 млн,7804541997
"ООО ""ЦБИ ""МАСКОМ""",960 млн,7729098893
"ООО ТД ""РЭИЛ РЕГИОН""",960 млн,6658485242
"ООО ""ЗАСПОРТ""",960 млн,7702462714
"ООО ""ОПТСЕЛЬХОЗТОРГ""",960 млн,7701931924
"АО ""ХЭС""",960 млн,2721202328
"ООО УК ""УЗТМ-КАРТЭКС""",960 млн,7727298791
"ООО ""ЭФТЕК НН""",960 млн,5256049068
"ООО ""КОЧ КОНСТРАКШН""",960 млн,7713465241
"ООО ""ПЕТРОСЕРВИС""",959 млн,7724422610
"ООО ""ТАЙПИТ-ИП""",959 млн,7811472920
"ООО ""КОРПОРАЦИЯ ЗНАК""",959 млн,7714331339
"АО ""ПРО.МЕД.ЦС МАРКЕТИНГ""",959 млн,7703739126
"ООО ""ИВ-ТРЕЙД""",959 млн,9715336372
"ООО ""ТС ТЕХНИК""",959 млн,7204183972
"ООО ""КНТ""",959 млн,4217162639
"ООО ""ВРС""",959 млн,5504216495
"ООО ""МЕБЕЛЬНАЯ ГАЛАКТИКА""",959 млн,7720466920
"ООО ""КОРСТРОЙ""",959 млн,7701599434
"ООО ""ТВЕРСКОЕ""",959 млн,6316232802
"ООО ""АКСИОМА""",959 млн,7720390357
"ООО ""АВТОСИЛА""",959 млн,3662113844
"ООО ""М-СТИЛЬ""",959 млн,7841002792
"ОАО ""КРОПОТКИНСКОЕ""",959 млн,2351005266
"АО ""ТИИР""",959 млн,7607001248
"ООО ""САШЕРА-МЕД""",959 млн,2204051110
"ООО ""МЕДИЦИНА 24/7""",959 млн,7725275735
"ЗАО ""МЕТУПАК""",959 млн,3908037096
"ООО ""ПРОФНЕФТЕРЕСУРС""",959 млн,5906076880
"ООО ""ВЕНТО-2М""",959 млн,7733055444
"ООО ""АКВАРИО РУС""",959 млн,7751018766
"ООО ""ТАЙПИТ-ПК""",959 млн,7731381636
"ООО ""ОНТАРГЕТ ЛАБС""",959 млн,7840478290
"ООО ""СИБИРСКИЙ БЕТОН""",959 млн,2464082173
"ООО ""ДОМ СВЕТА""",959 млн,9723089007
"ООО ""АКЦЕНТ-М""",959 млн,3811137594
"ООО ОРБ ""ЯРМАРКА""",959 млн,5823009248
"ООО ""РЕНЕССАНС""",959 млн,6164112233
"ЗАО ""ИНТЕХ""",959 млн,7816192892
"ООО ""ЭНЕРГОКОНСАЛТ""",958 млн,7728447076
"ООО ""КШП ""ПОДРОСТОК""",958 млн,5610123588
"ЛО ГУП ""НЕДВИЖИМОСТЬ""",958 млн,4700001222
"ООО ""АГРОЦЕНТР""",958 млн,6432018408
"ООО ""ЭЛЕКТРА""",958 млн,7321008558
"ООО ""ТЕРМИДОР""",958 млн,5260072408
"ООО ""ОБЪЕКТИВ""",958 млн,7203502136
"АО ""УРАНГЕО""",958 млн,3812016610
"ООО ""ВИП ЛАУНДЖ""",958 млн,7706807180
"ООО ""ПК ""ПРОФБЕТОН""",958 млн,7805599936
"ООО ""ЭВОГЕН""",958 млн,7728436684
"ООО ""ОРСК-АВТО-ЦЕНТР""",958 млн,5614055970
"ООО ""БАРС-АВТО""",958 млн,276133960
"ООО ""СЫКТЫВКАРСКИЙ МОЛОЧНЫЙ ЗАВОД""",958 млн,1101097174
"ООО ""СЕРВИСНЫЙ ЦЕНТР""",958 млн,5256079873
"ООО ""ДЕНЕБ""",958 млн,275902941
"ООО ""САОТРОН""",958 млн,7713535820
"ООО ""РУСАГРО-ЦЕНТР""",958 млн,5003048874
"ООО ""ДАГГСС""",958 млн,533010669
"ООО ""ИКОРНЫЙ""",958 млн,7733340642
"ООО ""ГАРТНЕР РУС""",958 млн,7715507401
"ООО ""ОСГ""",958 млн,6315646631
"ЗАО ""РУСЭЛЕКТРОКАБЕЛЬ""",958 млн,5262210332
"ООО ""Р-АЛЬЯНС""",958 млн,7704470693
"ЗАО ""СПЕЦПРОММОНТАЖ""",958 млн,7825370365
"ООО ""ВТОРРЕСУРСЫ""",958 млн,6950190946
"ООО ""СК ""ФЛАГМАН""",958 млн,3435052585
"ООО ""ЯРОСЛАВСКАЯ ЛАКОКРАСОЧНАЯ КОМПАНИЯ""",958 млн,7602072407
"ООО ""ДЕАН ЮГ""",958 млн,105074786
"ООО ""МЕНТАЛ-ПЛЮС""",958 млн,2461024536
"ООО ""1С-ПАРУС""",957 млн,7717574026
"ООО ""ХАПК ""ГРИН АГРО""",957 млн,2530007630
